"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","tmsplitcheckcombined2.visib","wdsp","tmsplitcheckcombined2.Num_collision"
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,48.3,45.7,3.4,17.3,0.685714285714286
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,45.2,41.9,7.7,15.7,0.657142857142857
"72",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,45.4,42.5,5.9,8.5,0.628571428571429
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,47,37,9.9,12.3,0.671428571428571
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016,40,21.4,10,10,0.628571428571429
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,37.2,22.6,10,11.3,0.421428571428571
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,37.4,32,7.3,16,0.571428571428571
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,40.8,23.9,10,16,0.671428571428571
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,48.6,40.2,8.5,13.5,0.685714285714286
"79",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,45.1,38.1,9.6,11.3,0.635714285714286
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016,50.8,48.5,2.7,10.8,0.514285714285714
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2016,44.8,37.6,9.3,15.1,0.628571428571429
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2016,40,32.8,9.8,5.4,0.378571428571429
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2016,45.1,41.4,5.9,11.8,0.621428571428571
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2016,48.6,34.9,9.7,19.6,0.678571428571429
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,43.4,24.8,10,13.2,0.757142857142857
"86",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,51,44.6,8.7,13.1,0.771428571428571
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,35.1,23.5,9.8,19.5,0.835714285714286
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,37,15.3,10,10.7,0.721428571428571
"89",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,50.9,44.8,7.6,21.9,0.685714285714286
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,49.7,43.2,7.3,15.9,0.707142857142857
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,41.8,25.1,10,9.7,0.664285714285714
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,40.6,23.9,10,15.7,0.514285714285714
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,47.8,38.9,9.9,12.8,0.635714285714286
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,52.5,48.6,6.4,13.6,0.592857142857143
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,46.7,34.2,9.8,12.9,0.778571428571429
"96",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,44,32.4,10,15.8,0.735714285714286
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,46.4,28.4,10,17.6,0.978571428571429
