"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","ttsplitcheckcombined2.visib","wdsp","Num_collision"
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,57.8,55.1,2.5,7.1,0.760233918128655
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,61.5,57.6,3,13.3,1
"144",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,61,58.7,2.1,14,0.859649122807018
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2013,55.6,52.3,4.6,7.6,0.590643274853801
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2013,50.2,41.8,9.3,13.9,0.543859649122807
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2013,56.9,42.8,10,14.1,0.421052631578947
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2013,56.6,49.6,9.9,6.4,0.707602339181287
"149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2013,57.9,54.7,4.9,10.9,0.760233918128655
"150",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2013,60.9,56.2,6.1,11.6,0.830409356725146
"151",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2013,62,56.8,6.7,9,0.883040935672515
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2013,61.3,57,8.9,9.2,0.567251461988304
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2013,63.2,59.2,7,9.1,0.684210526315789
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2013,60.9,58.6,3.1,4.9,0.742690058479532
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013,62.6,54.4,8.4,12.2,0.83625730994152
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2013,60.6,53.1,9.6,5.6,0.649122807017544
